Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24030130010025RH6,118.14,5.0003,5.00016,PASSED,PASSED,FAILED,FAILED,411.2,385.6, --- , 5.00026,5.00019,PASSED,PASSED,PASSED,PASSED,400,387.2,PASS,6/21/2024 12:59:08 PM
ZJ24030130010027RH6,120.519,5.00048,4.99989,PASSED,PASSED,PASSED,PASSED,120.8,429.6, --- , 5.00024,5.0001,PASSED,PASSED,PASSED,PASSED,128.8,440.8,FAIL,6/21/2024 1:01:18 PM
ZJ24030130010027RH6,121.449,5.00028,5.0002,PASSED,PASSED,PASSED,PASSED,154.4,431.2, --- , 4.99998,4.99997,PASSED,PASSED,PASSED,PASSED,153.2,431.2,FAIL,6/21/2024 1:03:19 PM
ZJ24030130010011RH6,116.446,4.99972,4.99954,PASSED,PASSED,PASSED,PASSED,350.4,397.2, --- , 5.00044,5.00017,PASSED,PASSED,PASSED,PASSED,358.4,424.8,PASS,6/21/2024 1:04:57 PM
ZJ24030130010031RH6,116.498,4.99998,4.99959,PASSED,PASSED,PASSED,PASSED,395.2,405.6,PASS,6/21/2024 1:08:38 PM
ZJ24030130010088RH6,117.421,4.99964,4.99989,PASSED,PASSED,FAILED,FAILED,391.2,391.6, --- , 4.99936,5.00008,PASSED,PASSED,PASSED,PASSED,416,383.2,PASS,6/21/2024 1:10:30 PM
ZJ24030130010063RH6,115.679,5.00056,5.00042,PASSED,PASSED,PASSED,PASSED,432.4,348.8, --- , 5.00052,4.99989,PASSED,PASSED,PASSED,PASSED,392.8,336,FAIL,6/21/2024 1:12:21 PM
ZJ24030130010090RH6,116.911,5.00028,4.99999,PASSED,PASSED,PASSED,PASSED,470.8,336.8, --- , 4.99948,5.00048,PASSED,PASSED,PASSED,PASSED,477.6,378,PASS,6/21/2024 1:13:58 PM
ZJ24030130010090RH6,117.77,4.99978,5.00031,PASSED,PASSED,PASSED,PASSED,465.6,357.6,PASS,6/21/2024 1:14:59 PM
ZJ24030130010003RH6,116.009,4.99992,5.00024,PASSED,PASSED,PASSED,PASSED,378,411.2,PASS,6/21/2024 1:16:14 PM
ZJ24030130010063RH6,115.831,4.99944,5.0002,PASSED,PASSED,PASSED,PASSED,412,335.2, --- , 4.99982,5.00041,PASSED,PASSED,PASSED,PASSED,409.2,356.4,PASS,6/21/2024 1:18:12 PM
ZJ24030130010022RH6,116.031,4.99964,5.00036,PASSED,PASSED,PASSED,PASSED,432,311.6, --- , 5.00012,4.99952,PASSED,PASSED,FAILED,FAILED,423.2,296.8,FAIL,6/21/2024 1:20:02 PM
ZJ24030130010027RH6,120.602,5.0005,5.00032,PASSED,PASSED,PASSED,PASSED,159.2,435.2, --- , 5.00008,5.0003,PASSED,PASSED,PASSED,PASSED,159.2,442.4,FAIL,6/21/2024 1:28:04 PM
ZJ24030130010022RH6,116.092,4.99982,4.99969,PASSED,PASSED,FAILED,FAILED,424.8,267.6, --- , 5.00022,5.00051,PASSED,PASSED,PASSED,PASSED,440.8,312,FAIL,6/21/2024 1:29:53 PM
ZJ24030130010047RH6,115.848,4.99992,5.00069,PASSED,PASSED,PASSED,PASSED,355.2,397.6,PASS,6/21/2024 1:31:02 PM
ZJ24030130010048RH6,118.198,4.99994,4.99963,PASSED,PASSED,PASSED,PASSED,408.8,238.4, --- , 5.00014,4.99979,PASSED,PASSED,PASSED,PASSED,412.4,270.4,FAIL,6/21/2024 1:40:08 PM
ZJ24030130010009RH6,117.297,4.99976,5,PASSED,PASSED,PASSED,PASSED,429.6,427.2,PASS,6/21/2024 1:41:09 PM
ZJ24030130010020RH6,118.613,5.00008,5.00043,PASSED,PASSED,PASSED,PASSED,449.6,416.8,PASS,6/21/2024 1:42:10 PM
ZJ24030130010019RH6,117.57,4.99972,5.00034,PASSED,PASSED,PASSED,PASSED,423.2,424.8,PASS,6/21/2024 1:43:11 PM
ZJ24030130010079RH6,116.22,5.00008,4.99993,PASSED,PASSED,PASSED,PASSED,411.2,393.6,PASS,6/21/2024 1:44:12 PM
ZJ24030130010105RH6,117.222,4.99988,5.00011,PASSED,PASSED,PASSED,PASSED,398.4,421.6,PASS,6/21/2024 1:45:23 PM
ZJ24030130010080RH6,117.15,4.99998,5.00001,PASSED,PASSED,PASSED,PASSED,395.2,415.6,PASS,6/21/2024 1:46:22 PM
ZJ24030130010046RH6,117.233,4.99992,4.99981,PASSED,PASSED,PASSED,PASSED,415.2,223.6, --- , 5.0005,4.99941,PASSED,PASSED,PASSED,PASSED,401.6,230.8,FAIL,6/21/2024 1:48:07 PM
